time_s,current_A
94802,0.8344148476577907
94803,0.8376769415599269
94804,0.8268455039099478
94805,0.8344436732991284
94806,0.8051853602433593
94807,0.687127032813251
94808,0.6860510355587843
94809,0.6860575271411216
94810,0.7131313770377182
94811,0.9679457166061772
94812,0.9017516266117616
94813,0.8605415769873344
94814,0.8507913297631383
94815,0.8540547973507265
94816,0.8573184911469146
94817,0.8551595166009228
94818,0.8681850768997685
94819,0.8703648948728139
94820,0.8616979040285159
94821,0.8790642019083875
94822,0.8291839836049172
94823,0.6861697239403168
94824,0.6894243821172644
94825,0.686182744809336
94826,0.7154276727603505
94827,0.9453215955243268
94828,0.8791302627298772
94829,0.8563596961184592
94830,0.8325093556175995
94831,0.8325189393416171
94832,0.8390354864998335
94833,0.8325381827000562
94834,0.8347167256494143
94835,0.8423183767572578
94836,0.834736084420589
94837,0.8347457204927007
94838,0.804392386464131
94839,0.6852093048846274
94840,0.6841329025968469
94841,0.686305247610164
94842,0.7307223888829919
94843,0.9628665948318924
94844,0.9118475142899337
94845,0.8695333718803808
94846,0.855439206829705
94847,0.8619590396145109
94848,0.8608842620635887
94849,0.8554697225021713
94850,0.8652448338365705
94851,0.8554900895152956
94852,0.8555002157762472
94853,0.86853104528326
94854,0.8566056045002662
94855,0.7134993943669233
94856,0.7135064226189877
94857,0.7145968708812167
94858,0.7406103760815755
94859,0.9500106081787166
94860,0.8881336774821862
94861,0.818701007984842
94862,0.8263033663421983
94863,0.8534359770810344
94864,0.8708090767597142
94865,0.8816731940223541
94866,0.8773422880940436
94867,0.8697554733141939
94868,0.8675953490941016
94869,0.8426466574952902
94870,0.8057718388194004
94871,0.6865432997161597
94872,0.6865498053508425
94873,0.6941398675094003
94874,0.7537533135504777
94875,1.0077760733935908
94876,0.9165269782835984
94877,0.8883076680142272
94878,0.8731205227110592
94879,0.8492529142222914
94880,0.8427516529306706
94881,0.8525286728939093
94882,0.8568799918263592
94883,0.8547194745086926
94884,0.8862101845301869
94885,0.9057661873143771
94886,0.8580070411066366
94887,0.7126781855597915
94888,0.7094337784727518
94889,0.7116083842984633
94890,0.7289582341374693
94891,0.9742686218224182
94892,0.9199575148826931
94893,0.8613323680917709
94894,0.8548301317308692
94895,0.8830680648413499
94896,0.8743932908835065
94897,0.8744045273525014
94898,0.8657299907698016
94899,0.8613983554642205
94900,0.8657519633676659
94901,0.8690202006439063
94902,0.8538318299724122
94903,0.7149852973477578
94904,0.7074047658338901
94905,0.7084960670383532
94906,0.7410289542742011
94907,1.027739531151087
94908,0.925572188220567
94909,0.9005987293716721
94910,0.8919212311667833
94911,0.8995362566929203
94912,0.8865141110415315
94913,0.8724072792172837
94914,0.8789345308125046
94915,0.8800319238907143
94916,0.8887323437393698
94917,0.8952612867747751
94918,0.8279474523376056
94919,0.7129599261427777
94920,0.7075462985329147
94921,0.7064693723378657
94922,0.752023751573991
94923,0.9877048838598141
94924,0.893162146986654
94925,0.8649331495965328
94926,0.8584281625192911
94927,0.8551810781275971
94928,0.8595357629681352
94929,0.8476011890166121
94930,0.8530413833147833
94931,0.8649984888500045
94932,0.863923393015082
94933,0.8661065960508243
94934,0.8400532790547093
94935,0.7076772567427344
94936,0.7098533880836503
94937,0.7066074876997315
94938,0.7326441993385924
94939,0.9933366895574275
94940,0.9096366272501432
94941,0.8672751721982109
94942,0.8618549966944808
94943,0.8716425050874448
94944,0.8727400189298555
94945,0.8760104558439873
94946,0.8771081603901097
94947,0.8760330407438128
94948,0.8782172345401715
94949,0.8836612274045851
94950,0.8510809855834047
94951,0.7023942629487354
94952,0.7024014991650733
94953,0.6948170093324756
94954,0.7132622857637598
94955,0.9619899191825523
94956,0.8946000502982643
94957,0.8533227365026816
94958,0.8392120919129585
94959,0.8598622625775699
94960,0.750205580049383
94961,0.7100693711148875
94962,0.7122463882763447
94963,0.6428511768056816
94964,0.5648382616576342
94965,0.5659260858701529
94966,0.5648476110315132
94967,0.565935453563787
94968,0.5659401420725665
94969,0.7079507309801116
94970,0.7991264491052319
94971,0.7253253158606909
94972,0.7133983127180248
94973,0.7166605412459623
94974,0.7231781880797354
94975,0.7166756831094472
94976,0.7275337541563337
94977,0.7145209259318513
94978,0.7177834835932243
94979,0.6082642055449654
94980,0.5638434224321497
94981,0.562764775960149
94982,0.5638527223518716
94983,0.5627740580864856
94984,0.5638620227335853
94985,0.5595333085412141
94986,0.5552046818048941
94987,0.5541259368995963
94988,0.6907204031637935
94989,0.8057878561854142
94990,0.7319683422467276
94991,0.7276350213642967
94992,0.7287281540451256
94993,0.7287359494611927
94994,0.7330850262794457
94995,0.7168136601097789
94996,0.714650856895189
94997,0.729852238239493
94998,0.5953675960896455
94999,0.5422778446400837
95000,0.5509487238299557
95001,0.5466197949577976
95002,0.5422909598496706
95003,0.5498788184247116
95004,0.5509667823233014
95005,0.5412211418368904
95006,0.5444755376692394
95007,0.7223164209414527
95008,0.7820389491751379
95009,0.7158207798518846
95010,0.7017202199282779
95011,0.6984722439510368
95012,0.702820403053323
95013,0.7017426051669268
95014,0.7039205976882252
95015,0.7006723610276869
95016,0.7061061202244288
95017,0.5716297600983575
95018,0.5434600584988152
95019,0.5445480068367919
95020,1.762533218879763
95021,1.762581125549488
95022,1.7615316196200554
95023,2.8288094245084503
95024,2.9733407335752338
95025,2.981262018137865
95026,2.981401733310145
95027,2.9815414685289805
95028,2.9861292578264593
95029,2.987381532085634
95030,2.990858417155603
95031,2.998785196532179
95032,2.996701818295762
95033,2.9957306690658476
95034,2.9980967453835508
95035,3.5326701857594554
95036,4.623220620420734
95037,4.623565585230326
95038,4.623910629734319
95039,4.62425575396397
95040,4.624600957950557
95041,4.624946241725342
95042,4.625291605319662
95043,4.625650274452907
95044,4.626021493549017
95045,3.000410536777446
95046,2.998336058777914
95047,3.00294225362833
95048,3.0120039961340987
95049,3.0121575801176803
95050,3.004514826435569
95051,3.005781417457852
95052,2.3964109772561573
95053,1.7754832130924645
95054,2.1788040947818716
95055,1.8757094650533601
95056,1.777854425673143
95057,1.77350856558055
95058,1.7801586464629278
95059,1.7835105419112176
95060,1.7824635621437337
95061,1.7803168320776135
95062,1.7781699589286908
95063,1.7804221392664694
95064,1.7837745599928096
95065,1.7849273923540976
95066,2.9771766172613017
95067,2.9583893387377276
95068,2.957423608507946
95069,2.959799550174653
95070,2.965518192021144
95071,2.9723522644934044
95072,2.974730554871734
95073,2.9759947885927462
95074,2.9683439762170254
95075,2.9618068413605245
95076,2.9608438058034654
95077,2.959882024220913
95078,2.9566911112819607
95079,2.9546143675600947
